gt_race_id,gt_race_name,gt_normalized_name,gt_gender,ticket_position,gt_time,ws_series_id,ws_race_id,ws_date,ws_year,ws_rank,ws_status,nationality,ws_gender_rank,age_category,ws_time,ws_race
23444,Nice Cote d Azur,simon gosselin,M,2,0.49061342592592600,17002,108752,2024-06-29,2024,22,Finisher,FRA,16,20-34,0.7112615740740740,Western States
23444,Nice Cote d Azur,eleanor davis,F,1,0.57592592592592600,17002,108752,2024-06-29,2024,,DNF,GBR,,35-39,,Western States
23444,Nice Cote d Azur,giulia vinco,F,2,0.64511574074074100,17002,108752,2024-06-29,2024,51,Finisher,ITA,19,20-34,0.8657407407407410,Western States
99186,Javelina,jonathan rea,M,1,0.52997685185185200,17002,108752,2024-06-29,2024,9,Finisher,USA,9,20-34,0.6341435185185180,Western States
99186,Javelina,blake slattengren,M,2,0.54035879629629600,17002,108752,2024-06-29,2024,11,Finisher,USA,11,20-34,0.6381597222222220,Western States
99186,Javelina,heather jackson,F,1,0.60054398148148100,17002,108752,2024-06-29,2024,24,Finisher,USA,7,40-44,0.7199421296296300,Western States
99186,Javelina,ragna debats,F,2,0.62184027777777800,17002,108752,2024-06-29,2024,63,Finisher,ESP,21,45-49,0.9173379629629630,Western States
25373,Doi Inthanon,ji duo,M,1,0.99917824074074100,17002,108752,2024-06-29,2024,12,Finisher,CHN,12,20-34,0.6496527777777780,Western States
25373,Doi Inthanon,robert hajnal,M,2,1.12486111111111000,17002,108752,2024-06-29,2024,39,Finisher,ROU,24,20-34,0.7964004629629630,Western States
25373,Doi Inthanon,lin chen,F,1,1.25364583333333000,17002,108752,2024-06-29,2024,,DNF,CHN,,20-34,,Western States
25373,Doi Inthanon,anna li,F,2,1.25780092592593000,17002,108752,2024-06-29,2024,,DNF,CHN,,20-34,,Western States
104108,Black Canyon,jupiter carera casas,M,2,0.31939814814814800,17002,108752,2024-06-29,2024,23,Finisher,MEX,17,20-34,0.7181134259259260,Western States
104108,Black Canyon,chris myers,M,3,0.32155092592592600,17002,108752,2024-06-29,2024,10,Finisher,USA,10,20-34,0.6377893518518520,Western States
